date,year,house,debate_title,speaker,speech,word_count,matched_keywords,crypto_relevant,debate_id,source_url
2022-07-21,2022,Lords,Crypto Asset Technology,Lord Davidson of Glen Clova (Lab),"I thank the noble Baroness for her Answer. Cryptocurrencies are characterised by opacity, volatility, lack of intrinsic value and bare regulation. In recent days, even stablecoins have exhibited a lack of stability. The Government seem to be content for cryptocurrency to form part of the UK’s financial architecture. My question is: if the Government see a virtue in cryptocurrencies that transcends the way in which a fiat currency or a central bank digital currency operates, what exactly is it? Would the Minister kindly explain why cryptocurrencies operate as a better means of exchange?",93,cryptocurrency; stablecoin; digital currency,Yes,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
2022-07-21,2022,Lords,Crypto Asset Technology,Baroness Penn (Con),"My Lords, it is not necessarily the Government’s position that crypto assets offer a better means of exchange, but they represent part of a trend of rapid innovation in financial technology. That is something we want to encourage, particularly because of some of the technology underlying some crypto assets. But the noble and learned Lord is right that they also pose risks to consumers. That is why we have already taken action on, for example, financial promotions of crypto assets and are looking at the wider question of crypto asset regulation in a consultation later this year.",97,crypto asset; financial promotion,Yes,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
2022-07-21,2022,Lords,Crypto Asset Technology,Lord Vaizey of Didcot (Con),"My Lords, I refer to my registered interests, particularly my work with Bifinity. The UK has no crypto unicorn. In fact, the one crypto unicorn founded in the UK has now moved abroad. Even Austria has a crypto unicorn. It is a tragedy that the FCA is not working harder to regulate crypto companies, which would provide much better protection for consumers. Given that successive Chancellors of the Exchequer have quite rightly said that the UK, with its history of prudential financial regulation, should be a hub for crypto, can the Minister update me on when we are likely to see progress on the regulation of crypto companies?",108,,No,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
2022-07-21,2022,Lords,Crypto Asset Technology,Baroness Penn (Con),"I would like to reassure my noble friend that we are taking a staged and proportionate approach to crypto asset regulation that is sensitive to the risks posed but also responsive to new developments in the market. I have referred to a number of areas in which we have already regulated for crypto assets, and in the forthcoming Financial Services and Markets Bill we will legislate to regulate stablecoins. Later this year, we will also consult on the wider regulation of the sector. I absolutely agree with him about the opportunities this market can provide for the UK economy.",99,crypto asset; stablecoin,Yes,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
2022-07-21,2022,Lords,Crypto Asset Technology,Lord Flight (Con),"My Lords, if the cryptocurrency market got so huge that it posed a major credit threat, would the Government consider introducing some form of regulation?",25,cryptocurrency,Yes,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
2022-07-21,2022,Lords,Crypto Asset Technology,Baroness Penn (Con),The Government are considering some form of regulation; that is why we are consulting on it later this year. My noble friend is absolutely right that financial stability is one consideration that we have to bear in mind when looking at this market.,43,,No,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
2022-07-21,2022,Lords,Crypto Asset Technology,Viscount Stansgate (Lab),"My Lords, if the Government are to consult on this area later this year, can the Minister give the House an undertaking that they will consult scientific bodies such as the Council for the Mathematical Sciences or the Institute of Mathematics and its Applications? Underlying cryptocurrencies is a very complicated system of mathematics and, to be quite honest, I would challenge any Member of the House easily to be able to explain the nature of what a cryptocurrency is.",79,cryptocurrency,Yes,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
2022-07-21,2022,Lords,Crypto Asset Technology,Baroness Penn (Con),"My Lords, I am glad the noble Viscount did not challenge me to explain the intricate details that lie behind crypto assets. The consultation will be public and we will make sure we engage a wide range of experts in the area to ensure that we are best informed of the way forward.",53,crypto asset,Yes,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
2022-07-21,2022,Lords,Crypto Asset Technology,Baroness Altmann (Con),"My Lords, given the cybersecurity and the anonymous and open nature of risks in blockchains, this seems to be rather inconsistent with money laundering rules in the rest of the financial system. Can my noble friend comment on inconsistencies in the environmental protection issues that this Government have worked so hard to achieve, given the environmental dangers of the proof-of-work cryptocurrency development and the risk to consumers, even in stablecoins?",70,cryptocurrency; stablecoin; blockchain,Yes,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
2022-07-21,2022,Lords,Crypto Asset Technology,Baroness Penn (Con),"My noble friend is right about the risks around money laundering and illicit finance. That is why crypto assets were brought within the anti-money laundering regime a few years ago. She is also absolutely right that some crypto assets can have a significant environmental impact. It is about the method by which they are generated or proved, and that is something we will consider as part of our consultation later this year.",72,crypto asset,Yes,B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C,https://hansard.parliament.uk/debates/GetDebateAsText/B19E0D46-B0AB-462E-9B87-0CBAEAD6E96C
