speaker,contributions,topic,weight,mean_probability
Baroness Penn,31,0,3.6725290299014,0.11846867838391613
Baroness Penn,31,1,20.710419490899184,0.6680780480935221
Baroness Penn,31,2,2.9206860875988303,0.09421568024512356
Baroness Penn,31,3,3.475111670562456,0.11210037646975664
Baroness Penn,31,4,0.2212537210381316,0.007137216807681665
Lord Holmes of Richmond,14,0,0.800856838793449,0.05720405991381779
Lord Holmes of Richmond,14,1,0.39477576812793574,0.02819826915199541
Lord Holmes of Richmond,14,2,0.1993056230866621,0.01423611593476158
Lord Holmes of Richmond,14,3,2.1853684909587865,0.15609774935419904
Lord Holmes of Richmond,14,4,10.419693279033167,0.7442638056452262
Lord Sandhurst,12,0,1.0293316243372899,0.08577763536144083
Lord Sandhurst,12,1,0.1007592030927029,0.008396600257725243
Lord Sandhurst,12,2,0.20118161120279549,0.016765134266899625
Lord Sandhurst,12,3,3.347057174289041,0.2789214311907534
Lord Sandhurst,12,4,7.321670387078171,0.6101391989231809
Lord Ponsonby of Shulbrede,11,0,1.3746887039942384,0.12497170036311257
Lord Ponsonby of Shulbrede,11,1,0.2868227767533465,0.026074797886667864
Lord Ponsonby of Shulbrede,11,2,0.11416881155011359,0.010378982868192145
Lord Ponsonby of Shulbrede,11,3,1.6237127487865635,0.1476102498896876
Lord Ponsonby of Shulbrede,11,4,7.600606958915738,0.6909642689923398
Viscount Stansgate,11,0,0.6221254716773444,0.056556861061576764
Viscount Stansgate,11,1,0.16834511761746143,0.015304101601587404
Viscount Stansgate,11,2,1.5106830462117928,0.13733482238289027
Viscount Stansgate,11,3,2.765292845878519,0.251390258716229
Viscount Stansgate,11,4,5.9335535186148824,0.5394139562377166
Lord Anderson of Ipswich,10,0,0.028253591161075287,0.0028253591161075285
Lord Anderson of Ipswich,10,1,0.02827053986270317,0.002827053986270317
Lord Anderson of Ipswich,10,2,0.7613439583790685,0.07613439583790685
Lord Anderson of Ipswich,10,3,0.5629081038768406,0.05629081038768406
Lord Anderson of Ipswich,10,4,8.619223806720312,0.8619223806720312
Lord Clement-Jones,10,0,1.0215308524154816,0.10215308524154816
Lord Clement-Jones,10,1,0.038762879795876906,0.0038762879795876904
Lord Clement-Jones,10,2,0.038627375077813914,0.0038627375077813914
Lord Clement-Jones,10,3,2.6696219942714663,0.2669621994271466
Lord Clement-Jones,10,4,6.231456898439362,0.6231456898439361
Andrew Griffith,10,0,2.394799861567327,0.23947998615673272
Andrew Griffith,10,1,6.772948957656662,0.6772948957656661
Andrew Griffith,10,2,0.24211195520426645,0.024211195520426644
Andrew Griffith,10,3,0.47812407677546254,0.047812407677546256
Andrew Griffith,10,4,0.11201514879628055,0.011201514879628055
Lord Harlech,9,0,0.4710870986250001,0.052343010958333346
Lord Harlech,9,1,6.715560813981182,0.7461734237756869
Lord Harlech,9,2,0.9153977084934699,0.10171085649927443
Lord Harlech,9,3,0.8406499339500416,0.0934055482166713
Lord Harlech,9,4,0.05730444495030587,0.0063671605500339856
Martin Docherty-Hughes,9,0,0.48379400528199196,0.05375488947577688
Martin Docherty-Hughes,9,1,2.627981407760754,0.29199793419563935
Martin Docherty-Hughes,9,2,0.4280518142312604,0.047561312692362266
Martin Docherty-Hughes,9,3,4.797573800588857,0.5330637556209842
Martin Docherty-Hughes,9,4,0.6625989721371367,0.07362210801523741
Lord Livermore,8,0,2.361999813776897,0.2952499767221121
Lord Livermore,8,1,4.55700873400227,0.5696260917502838
Lord Livermore,8,2,0.029991184725301098,0.003748898090662637
Lord Livermore,8,3,0.9929970698047372,0.12412463372559215
Lord Livermore,8,4,0.058003197690794636,0.0072503997113493295
Dr Cameron,7,0,0.6650969212065166,0.09501384588664523
Dr Cameron,7,1,4.95523628353175,0.7078908976473929
Dr Cameron,7,2,0.20689267454778332,0.029556096363969046
Dr Cameron,7,3,1.0063832366100394,0.1437690338014342
Dr Cameron,7,4,0.16639088410391,0.023770126300558574
Lord Davidson of Glen Clova,7,0,0.2174197150769804,0.031059959296711487
Lord Davidson of Glen Clova,7,1,2.4346427291671078,0.3478061041667297
Lord Davidson of Glen Clova,7,2,2.3692907802736496,0.3384701114676642
Lord Davidson of Glen Clova,7,3,1.8985218392795766,0.2712174056113681
Lord Davidson of Glen Clova,7,4,0.08012493620268536,0.01144641945752648
Baroness Kramer,6,0,1.958049262492606,0.32634154374876767
Baroness Kramer,6,1,0.39008999817870843,0.0650149996964514
Baroness Kramer,6,2,0.0583354470448199,0.009722574507469984
Baroness Kramer,6,3,3.5637057167392627,0.5939509527898771
Baroness Kramer,6,4,0.02981957554460329,0.004969929257433882
Lord Tunnicliffe,6,0,1.3007385690222832,0.21678976150371387
Lord Tunnicliffe,6,1,2.7497185026686575,0.4582864171114429
Lord Tunnicliffe,6,2,1.1030333625912554,0.18383889376520923
Lord Tunnicliffe,6,3,0.753192787107704,0.12553213118461734
Lord Tunnicliffe,6,4,0.09331677861009989,0.015552796435016648
Richard Fuller,6,0,2.0410628328072575,0.3401771388012096
Richard Fuller,6,1,2.659971833009519,0.4433286388349198
Richard Fuller,6,2,0.1186544184626025,0.019775736410433748
Richard Fuller,6,3,0.9645577089172765,0.16075961815287942
Richard Fuller,6,4,0.21575320680334448,0.03595886780055741
Lord Shamash,5,0,0.050004843212653596,0.010000968642530719
Lord Shamash,5,1,0.30780204631728114,0.061560409263456226
Lord Shamash,5,2,0.27774307125878434,0.05554861425175687
Lord Shamash,5,3,2.016972839067991,0.4033945678135982
Lord Shamash,5,4,2.34747720014329,0.469495440028658
Jim Shannon (Strangford),4,0,0.59768772188207,0.1494219304705175
Jim Shannon (Strangford),4,1,2.868463490292865,0.7171158725732163
Jim Shannon (Strangford),4,2,0.0548977849694405,0.013724446242360125
Jim Shannon (Strangford),4,3,0.4707570037510633,0.11768925093776582
Jim Shannon (Strangford),4,4,0.008193999104560711,0.002048499776140178
Lord Bassam of Brighton,4,0,0.35986052087244136,0.08996513021811034
Lord Bassam of Brighton,4,1,0.03763916499494417,0.009409791248736043
