speaker,contributions,words,weight_topic_0,weight_topic_1,weight_topic_2,weight_topic_3,weight_topic_4,mean_topic_0,mean_topic_1,mean_topic_2,mean_topic_3,mean_topic_4,total_topic_weight
Baroness Penn,31,5863,3.6725290299014,20.710419490899184,2.9206860875988303,3.475111670562456,0.2212537210381316,0.11846867838391613,0.6680780480935221,0.09421568024512356,0.11210037646975664,0.007137216807681665,31.000000000000004
Lord Holmes of Richmond,14,5380,0.800856838793449,0.39477576812793574,0.1993056230866621,2.1853684909587865,10.419693279033167,0.05720405991381779,0.02819826915199541,0.01423611593476158,0.15609774935419904,0.7442638056452262,14.0
Lord Sandhurst,12,4232,1.0293316243372899,0.1007592030927029,0.20118161120279549,3.347057174289041,7.321670387078171,0.08577763536144083,0.008396600257725243,0.016765134266899625,0.2789214311907534,0.6101391989231809,12.0
Lord Ponsonby of Shulbrede,11,5422,1.3746887039942384,0.2868227767533465,0.11416881155011359,1.6237127487865635,7.600606958915738,0.12497170036311257,0.026074797886667864,0.010378982868192145,0.1476102498896876,0.6909642689923398,11.0
Viscount Stansgate,11,3646,0.6221254716773444,0.16834511761746143,1.5106830462117928,2.765292845878519,5.9335535186148824,0.056556861061576764,0.015304101601587404,0.13733482238289027,0.251390258716229,0.5394139562377166,11.0
Lord Anderson of Ipswich,10,3101,0.028253591161075287,0.02827053986270317,0.7613439583790685,0.5629081038768406,8.619223806720312,0.0028253591161075285,0.002827053986270317,0.07613439583790685,0.05629081038768406,0.8619223806720312,10.0
Lord Clement-Jones,10,3744,1.0215308524154816,0.038762879795876906,0.038627375077813914,2.6696219942714663,6.231456898439362,0.10215308524154816,0.0038762879795876904,0.0038627375077813914,0.2669621994271466,0.6231456898439361,10.0
Andrew Griffith,10,3069,2.394799861567327,6.772948957656662,0.24211195520426645,0.47812407677546254,0.11201514879628055,0.23947998615673272,0.6772948957656661,0.024211195520426644,0.047812407677546256,0.011201514879628055,9.999999999999998
Lord Harlech,9,597,0.4710870986250001,6.715560813981182,0.9153977084934699,0.8406499339500416,0.05730444495030587,0.052343010958333346,0.7461734237756869,0.10171085649927443,0.0934055482166713,0.0063671605500339856,9.0
Martin Docherty-Hughes,9,3697,0.48379400528199196,2.627981407760754,0.4280518142312604,4.797573800588857,0.6625989721371367,0.05375488947577688,0.29199793419563935,0.047561312692362266,0.5330637556209842,0.07362210801523741,9.0
Lord Livermore,8,1009,2.361999813776897,4.55700873400227,0.029991184725301098,0.9929970698047372,0.058003197690794636,0.2952499767221121,0.5696260917502838,0.003748898090662637,0.12412463372559215,0.0072503997113493295,8.0
Dr Cameron,7,1783,0.6650969212065166,4.95523628353175,0.20689267454778332,1.0063832366100394,0.16639088410391,0.09501384588664523,0.7078908976473929,0.029556096363969046,0.1437690338014342,0.023770126300558574,7.0
Lord Davidson of Glen Clova,7,356,0.2174197150769804,2.4346427291671078,2.3692907802736496,1.8985218392795766,0.08012493620268536,0.031059959296711487,0.3478061041667297,0.3384701114676642,0.2712174056113681,0.01144641945752648,6.999999999999999
Baroness Kramer,6,3143,1.958049262492606,0.39008999817870843,0.0583354470448199,3.5637057167392627,0.02981957554460329,0.32634154374876767,0.0650149996964514,0.009722574507469984,0.5939509527898771,0.004969929257433882,6.0
Lord Tunnicliffe,6,3428,1.3007385690222832,2.7497185026686575,1.1030333625912554,0.753192787107704,0.09331677861009989,0.21678976150371387,0.4582864171114429,0.18383889376520923,0.12553213118461734,0.015552796435016648,6.0
Richard Fuller,6,3509,2.0410628328072575,2.659971833009519,0.1186544184626025,0.9645577089172765,0.21575320680334448,0.3401771388012096,0.4433286388349198,0.019775736410433748,0.16075961815287942,0.03595886780055741,5.999999999999999
Lord Shamash,5,428,0.050004843212653596,0.30780204631728114,0.27774307125878434,2.016972839067991,2.34747720014329,0.010000968642530719,0.061560409263456226,0.05554861425175687,0.4033945678135982,0.469495440028658,5.0
Jim Shannon (Strangford),4,2205,0.59768772188207,2.868463490292865,0.0548977849694405,0.4707570037510633,0.008193999104560711,0.1494219304705175,0.7171158725732163,0.013724446242360125,0.11768925093776582,0.002048499776140178,4.0
Lord Bassam of Brighton,4,316,0.35986052087244136,0.03763916499494417,0.037313076145123386,1.5886815633438756,1.9765056746436158,0.08996513021811034,0.009409791248736043,0.009328269036280847,0.3971703908359689,0.49412641866090395,4.0
Sarah Sackman,4,2585,1.8174491592062676,0.006421211354039642,0.006375281020179999,0.006358177285043157,2.16339617113447,0.4543622898015669,0.0016053028385099105,0.0015938202550449998,0.0015895443212607893,0.5408490427836175,4.0
"Dr Lisa Cameron (East Kilbride, Strathaven and Lesmahagow)",3,2641,0.44363782059424245,2.1647563419948415,0.007027919134975914,0.33197932090243243,0.05259859737350823,0.14787927353141414,0.7215854473316138,0.002342639711658638,0.11065977363414414,0.01753286579116941,3.0000000000000004
Lord Sikka,3,732,1.1661582233846943,0.5226345447991503,1.2770833324376492,0.017199656809119113,0.016924242569387397,0.3887194077948981,0.1742115149330501,0.42569444414588303,0.005733218936373037,0.005641414189795799,3.0000000000000004
Martin Docherty-Hughes (West Dunbartonshire),3,2602,0.005835818327273647,2.458852620880678,0.005739950575829285,0.5238057636101691,0.005765846606050211,0.0019452727757578823,0.8196175402935593,0.0019133168586097616,0.1746019212033897,0.0019219488686834036,3.0000000000000004
Peter Grant,3,1055,0.012022667283515736,0.5333049887583745,0.01199981229230175,2.2830158091752906,0.1596567224905177,0.004007555761171912,0.17776832958612485,0.00399993743076725,0.7610052697250969,0.05321890749683924,3.0000000000000004
"The Parliamentary Secretary, HM Treasury (Baroness Penn)",3,4777,1.0337731414865658,1.1878631073442496,0.0007951868887161182,0.7767734240388725,0.000795140241596097,0.34459104716218864,0.39595436911474985,0.0002650622962387061,0.25892447467962415,0.00026504674719869903,3.0000000000000004
