topic,rank,topic_probability,date,year,debate_title,speaker,speech_id,source_url,speech_excerpt
0,1,0.9986558183350447,2023-01-10,2023,Financial Services and Markets Bill,Baroness Kramer,F60967B2-3819-4FFA-9368-B117FE2B72E9,https://hansard.parliament.uk/lords/2023-01-10/debates/31C87B99-9807-4FD8-B70A-45D4520A0197/FinancialServicesAndMarketsBill,"My Lords, I begin the first of the winding-up speeches by saying how much I welcome our three maiden speakers and by remarking on the excellence of their speeches. I look forward to their further contributions. This a significant Bill. There are aspects of it that I strongly support. I do believe that we should tailor regulation to the UK market, although I am of the community that thinks this refers much more to the efficiency of the way that rules are applied than to the removal of gold-platin"
0,2,0.9980817295269988,2022-09-07,2022,Financial Services and Markets Bill,Richard Fuller,A1BF72D8-BE53-49C5-8645-6710BA3D8E23,https://hansard.parliament.uk/Commons/2022-09-07/debates/031C9811-9E3E-4EE5-AADA-AB9984934DFD/FinancialServicesAndMarketsBill,"The hon. Lady tempts me to talk beyond what is really the responsibility of the Government. She is raising questions that are correctly and appropriately for the parliamentary authorities to respond to. On her more general point about whether the system is correct to rely on the regulatory framework that was established in 2000, I think the answer is absolutely yes. As I have just mentioned, it provides the ability for an agile, pro-growth, competitive set of financial services regulations, and "
0,3,0.9974159336546383,2022-09-07,2022,Financial Services and Markets Bill,"David Simmonds (Ruislip, Northwood and Pinner)",8543A23F-0F5F-4E67-A3C2-ABD8C759DC9F,https://hansard.parliament.uk/Commons/2022-09-07/debates/031C9811-9E3E-4EE5-AADA-AB9984934DFD/FinancialServicesAndMarketsBill,"I add my congratulations to Ministers past and present involved in introducing the Bill. It is an incredibly important piece of legislation for my constituents. Ruislip, Northwood and Pinner has a high level of employment in the City and in connected financial services, and the subject is close to my heart, as I belong to an even more cherished race of human beings than Tory MPs—I am a former banker. There have been a number of exceptional contributions to this debate, so I shall try to confine "
0,4,0.9960094201556222,2022-09-07,2022,Financial Services and Markets Bill,Rishi Sunak,B4082E82-6ABE-4386-B4E9-093FFC189E0E,https://hansard.parliament.uk/Commons/2022-09-07/debates/031C9811-9E3E-4EE5-AADA-AB9984934DFD/FinancialServicesAndMarketsBill,"Yes, I do: the Minister touched on provisions that increase consumer protection. My hon. Friend the Member for Salisbury spent a lot of time ensuring that consumers would have that protection, particularly with regard to scams, as the Minister outlined in his opening remarks. That is an area that needs attention. Thirdly, on ringfencing, I suggest that the Government not only accept the recommendations of the independent Skeoch review, but consider going further. I know that this is a Government"
0,5,0.9936737729152945,2022-10-25,2022,Financial Services and Markets Bill (Fourth sitting),Andrew Griffith,2ECB38F3-2633-4C1C-8042-1D379927B725,https://hansard.parliament.uk/commons/2022-10-25/debates/215dc117-5433-4486-b277-4c63c0070164/FinancialServicesAndMarketsBill%28FourthSitting%29,"I am very happy to take that point away and, if appropriate, I will write to the hon. Lady in response. The construct of regulation in this space is that we have a level of trust in our operationally independent regulators, and prevention of crime and of harm to consumers is at the core of the regulatory structure. She should have some comfort that that issue would not be overlooked. I will try to give a little bit of colour regarding the intention to use the sandbox. It is the Government’s inte"
1,1,0.999466422146958,2022-11-08,2022,Cryptoasset Promotions in Sport,Aaron Bell (Newcastle-under-Lyme),ACEC60E5-43BC-4101-9560-8FF49697CC53,https://hansard.parliament.uk/commons/2022-11-08/debates/2538CF59-638B-4BD1-8DFD-4428E7DA958D/CryptoassetPromotionsInSport,"I beg to move, That this House has considered cryptoasset promotions in sport. It is a pleasure to serve under your chairmanship, Mrs Cummins. I thank Mr Speaker for granting the debate and welcome the Minister to his place. The debate was originally set to be held on 13 September, but the very sad death of Her late Majesty the Queen meant it was rightly postponed, until today. I should also mention the hon. Member for West Dunbartonshire (Martin Docherty-Hughes), who pipped me to the post in se"
1,2,0.9990640195997833,2022-11-08,2022,Cryptoasset Promotions in Sport,"The Parliamentary Under-Secretary of State for Digital, Culture, Media and Sport (Stuart Andrew)",2A19C9E8-BAAD-48D6-BAEC-C872B4767C75,https://hansard.parliament.uk/commons/2022-11-08/debates/2538CF59-638B-4BD1-8DFD-4428E7DA958D/CryptoassetPromotionsInSport,"It is a pleasure to serve under your chairmanship, Mrs Cummins. I thank my hon. Friend the Member for Newcastle-under-Lyme (Aaron Bell) for securing the debate. It is clear that he and I share a passion that everyone should be able to enjoy sport safely. That is ultimately one of the things that has motivated him to secure this debate. We both understand how important it is to protect the integrity of our sports as well as the fans, who are their lifeblood, frankly. In my first few weeks in this"
1,3,0.9987823269638725,2023-05-02,2023,Financial Services and Markets Act 2000 (Financial Promotion) (Amendment) Order 2023,"The Parliamentary Secretary, HM Treasury (Baroness Penn)",E06B6B7D-CFF3-4B51-817F-3C3EFBF9BCE9,https://hansard.parliament.uk/Lords/2023-05-02/debates/9A585683-0336-4E75-9D92-E69A588AD099/details,"My Lords, this Government have a clear vision for financial services—that is, for an open, sustainable and technologically advanced financial services sector that is globally competitive and acts in the interests of communities and citizens by creating jobs, supporting businesses and powering growth across all four nations of the UK. The two statutory instruments that we are debating today complement some of the measures that are being delivered through the Financial Services and Markets Bill, w"
1,4,0.9982897035724946,2022-11-08,2022,Cryptoasset Promotions in Sport,Martin Docherty-Hughes (West Dunbartonshire),D4E3077B-EB5A-45F7-A06B-1AD6B7B52B0F,https://hansard.parliament.uk/commons/2022-11-08/debates/2538CF59-638B-4BD1-8DFD-4428E7DA958D/CryptoassetPromotionsInSport,"It is good to see you in the Chair, Mrs Cummins. I thank the hon. Member for Newcastle-under-Lyme (Aaron Bell) for securing the debate, which is important not only because it dovetails with the debate that I secured two months ago, but because I agree with most, if not everything, that he said. I began my speech two months ago by declaring my interest as chair of the all-party parliamentary group on blockchain, which has done a most excellent job of examining and understanding the blockchain—or,"
1,5,0.9980539024695569,2022-11-08,2022,Cryptoasset Promotions in Sport,"Jeff Smith (Manchester, Withington)",9CA5EA3F-FFA0-4143-878F-5F09E9E37B28,https://hansard.parliament.uk/commons/2022-11-08/debates/2538CF59-638B-4BD1-8DFD-4428E7DA958D/CryptoassetPromotionsInSport,"It is great to see you in the Chair, Mrs Cummins. I congratulate the hon. Member for Newcastle-under-Lyme (Aaron Bell) not only on securing the debate, but on what I thought was an excellent speech that really set out the issues. I completely agreed with most of his speech, including, sadly, his criticism of the club for which I have been a lifelong season ticket holder, Man City. We have not covered ourselves in glory on this issue. Some 2.3 million people in the UK apparently own cryptocurrenc"
2,1,0.9977485921995949,2024-11-13,2024,Cryptoasset consequential amendments / Proceeds of Crime,The Minister for Security (Dan Jarvis),87B380EF-B56A-4418-A585-3D5B353AAE36,https://hansard.parliament.uk/commons/2024-11-13/debates/eb81fc44-98d2-45a5-bfd7-bef8eb4d37c3/GeneralCommittees,"I beg to move, That the Committee has considered the draft Criminal Finances Act 2017 and Economic Crime and Corporate Transparency Act 2023 (Consequential Amendments) Regulations 2024. It is a great pleasure to serve under your chairship, Mr Efford, and to welcome the shadow Minister, the hon. Member for Stockton West, to his place. I spent a very long time on the Opposition Benches in various shadow ministerial roles, so I hope the shadow Minister will take it in the right spirit when I say th"
2,2,0.9972140673953915,2024-04-16,2024,"Proceeds of Crime Act 2002 (Search, Recovery of Crypto Assets and Investigations) Regulations 2024",Chris Philp,1219F8C1-0B59-4F6D-A18B-86CC955AF488,https://hansard.parliament.uk/Commons/2024-04-16/debates/1650dae5-1ff5-4cb0-828f-37f8de37b93a/DraftProceedsOfCrimeAct2002%28InvestigativePowersOfProsecutorsCodeOfPractice%29Order2024DraftProceedsOfCrimeAct2002%28SearchRecoveryOfCryptoAssetsAndInvestigationsCodesOfPractice%29Regulations2024,"Non-fungible tokens, the value of which, as the shadow Minister hinted, is somewhat volatile— I am not sure that I would recommend to anyone that they invest in NFTs—are covered. In fact, it is possible for the Secretary of State, via regulation-making powers and secondary legislation, to update the provisions on digital currencies or other things in the future in case there are forms of digital assets that we do not know about today that we may want to bring into scope in the future. Paying com"
2,3,0.9969103652361334,2024-04-16,2024,"Proceeds of Crime Act 2002 (Search, Recovery of Crypto Assets and Investigations) Regulations 2024",Alex Norris (Nottingham North),ADC31EBB-73BD-4A74-BEF3-AA229435C6E3,https://hansard.parliament.uk/Commons/2024-04-16/debates/1650dae5-1ff5-4cb0-828f-37f8de37b93a/DraftProceedsOfCrimeAct2002%28InvestigativePowersOfProsecutorsCodeOfPractice%29Order2024DraftProceedsOfCrimeAct2002%28SearchRecoveryOfCryptoAssetsAndInvestigationsCodesOfPractice%29Regulations2024,"It is a pleasure to serve with you in the Chair, Dr Huq. All four of the instruments before us are about ensuring that the authorities have the tools they need to combat criminals and terrorists in a digital world by giving them the powers they need to investigate, search for and seize crypto assets. As the Minister says, we know that this is a growing, fast-moving and changing area of crime and criminality, and it is vital that the relevant authorities have the powers they need to keep pace. I "
2,4,0.9963313305332339,2024-04-16,2024,"Proceeds of Crime Act 2002 (Search, Recovery of Crypto Assets and Investigations) Regulations 2024",Chris Philp,344D00FB-7B25-484A-8011-EDC22E536481,https://hansard.parliament.uk/Commons/2024-04-16/debates/1650dae5-1ff5-4cb0-828f-37f8de37b93a/DraftProceedsOfCrimeAct2002%28InvestigativePowersOfProsecutorsCodeOfPractice%29Order2024DraftProceedsOfCrimeAct2002%28SearchRecoveryOfCryptoAssetsAndInvestigationsCodesOfPractice%29Regulations2024,"It is a pleasure to serve for the first time under your chairmanship, Dr Huq. The Government are committed to tackling all forms of economic crime. Decisive action has been taken by expediting the passage of the Economic Crime (Transparency and Enforcement) Act 2022 through Parliament. The Home Office measures in that Act reform the unexplained wealth orders regime to improve transparency of ownership structures and allow more time for law enforcement to review material relating to unexplained w"
2,5,0.9961401107946776,2024-04-16,2024,"Proceeds of Crime Act 2002 (Search, Recovery of Crypto Assets and Investigations) Regulations 2024",Chris Philp,3A237FBE-41F2-48A1-92FA-CB272C89751C,https://hansard.parliament.uk/Commons/2024-04-16/debates/1650dae5-1ff5-4cb0-828f-37f8de37b93a/DraftProceedsOfCrimeAct2002%28InvestigativePowersOfProsecutorsCodeOfPractice%29Order2024DraftProceedsOfCrimeAct2002%28SearchRecoveryOfCryptoAssetsAndInvestigationsCodesOfPractice%29Regulations2024,"Terrorism is defined in those Acts and will be facts-specific. If an agent of a foreign Government committed certain acts on our soil and those acts fell within the definitions contained in the Terrorism Act 2000 or other terrorism legislation, the terrorism provisions would be engaged. Whether cyber-attacks conducted extraterritorially would meet those thresholds would be facts-specific; it would depend on the nature of the acts themselves. Clearly, acts by hostile states are of very significan"
3,1,0.9992184081833075,2022-09-07,2022,Cryptoassets: Regulation,Martin Docherty-Hughes,71D434BD-D91C-4FB4-8D10-E50EA1AD1290,https://hansard.parliament.uk/Commons/2022-09-07/debates/61FA38B4-609A-4D44-99C9-BB4E6386C859/CryptoassetsRegulation,"I do not disagree, but I will talk later about the reality of the existing regulation and how we should lead best practice. It is important that regulation is able to make a clear delineation of where the legitimate business exists and outright scam cannot. Despite the halving of the value of Bitcoin since its peak in November, it remains at a price much higher than it held a few years ago. Although many will argue over the inherent value of crypto, the market remains remarkably buoyant, despite"
3,2,0.9979533177012001,2023-02-02,2023,Central Bank Digital Currencies,Lord King of Lothbury,288736CB-88C2-4AD2-805E-E43A8A96AE25,https://hansard.parliament.uk/Lords/2023-02-02/debates/75D69175-C242-45B8-B5F8-393D171D9329/CentralBankDigitalCurrencies,"My Lords, I speak as a member of the Economic Affairs Committee which produced the report that we are debating. I thank the noble Lord, Lord Bridges, for his excellent introduction to the debate. I declare an interest as a consultant to Citigroup. Central banking is not the most exciting of topics. Indeed, at the Bank, my ambition was to make it boring. But add “digital” to any title and you find a wave of enthusiasm overwhelming all those involved, with people feeling that this is the future an"
3,3,0.9949567877128095,2023-05-02,2023,Financial Services and Markets Act 2000 (Financial Promotion) (Amendment) Order 2023,Kit Malthouse,7899F787-DC5C-45BD-9338-20D4B61B7142,https://hansard.parliament.uk/commons/2023-05-02/debates/0168303e-b364-4ae5-890c-2678af7d2b20/GeneralCommittees,"It is a pleasure to appear before you, Mr Gray. There are many reasons for not just consumers, but Governments, to fear cryptocurrency. The growth in cryptocurrency effectively represents a loss of control in nation states of our money supply, and a loss of control by co-ordinating nations across the world of the global money supply. At the moment, cryptocurrency capitalisation, if you like, or gross valuation is anywhere between $1.2 trillion and $1.5 trillion, against a global liquid money sup"
