year,rank,term,mean_tfidf
2021,1,fintech,0.08926475149522355
2021,2,financial,0.0829222503965024
2021,3,amendments,0.06967430597358439
2021,4,intelligence,0.06746824270026894
2021,5,lady,0.06728193152818669
2021,6,group,0.06693432099833604
2021,7,artificial intelligence,0.06366632979508859
2021,8,services,0.061966888783490326
2021,9,artificial,0.0619253115830406
2021,10,comments,0.059671976396618906
2021,11,sector,0.05853401284508788
2021,12,amendments group,0.05661580609836249
2021,13,financial services,0.05401576591876998
2021,14,companies,0.052375870643143294
2021,15,certainly,0.05087761283253993
2021,16,baroness lady,0.046707738352884214
2021,17,digital,0.042950913854392946
2021,18,baroness,0.04166913077003398
2021,19,change,0.0409364980937674
2021,20,world,0.039199028561440696
2022,1,cryptoassets,0.04960127283038497
2022,2,financial,0.041209956908570315
2022,3,crypto,0.04046115332931149
2022,4,regulation,0.03553019721908264
2022,5,technology,0.02897883322136734
2022,6,people,0.02430184418357467
2022,7,cryptocurrencies,0.023343267742333005
2022,8,cryptoasset,0.021150143209869663
2022,9,fca,0.021103221487747754
2022,10,services,0.020583410386131745
2022,11,cryptocurrency,0.0200841104873875
2022,12,sanctions,0.02004606858595841
2022,13,does,0.01956752283451023
2022,14,financial services,0.018015495420872142
2022,15,risks,0.017754385263878757
2022,16,fraud,0.01713645694867301
2022,17,market,0.016930437252951628
2022,18,year,0.01607339000333285
2022,19,sector,0.015881238043920914
2022,20,need,0.015863464674988996
2023,1,financial,0.05673935794150408
2023,2,regulators,0.052295283783262037
2023,3,regulation,0.047288231504587434
2023,4,fca,0.04426836726176083
2023,5,services,0.04034610884645974
2023,6,sector,0.03818889112958508
2023,7,bank,0.03668631894925168
2023,8,cbdc,0.03630814973641755
2023,9,regulatory,0.03549313038067738
2023,10,financial services,0.03392346534510959
2023,11,people,0.033381885491923134
2023,12,cash,0.0326374989848156
2023,13,fraud,0.03205428474485109
2023,14,cryptocurrency,0.03132045730053909
2023,15,crypto,0.02914280381704817
2023,16,need,0.02773487188096685
2023,17,firms,0.027480222634534146
2023,18,digital,0.0263133598958359
2023,19,nfts,0.02609853967655739
2023,20,investment,0.025125485233486837
2024,1,law,0.07731952081462205
2024,2,act,0.058780841584091956
2024,3,crime,0.04851034482710255
2024,4,property,0.045670290626597
2024,5,powers,0.038029108766349386
2024,6,digital_assets,0.03527723390391883
2024,7,terrorism,0.033235318156063745
2024,8,code,0.03127489594951286
2024,9,important,0.03118758208895208
2024,10,practice,0.031046424299795185
2024,11,draft,0.03059416227382241
2024,12,information,0.02972739660434753
2024,13,authorities,0.029598418766387153
2024,14,digital,0.028812261011434113
2024,15,legal,0.02872343138408718
2024,16,common law,0.028657853079228548
2024,17,law_commission,0.02846343713053877
2024,18,local,0.027724502897750497
2024,19,instruments,0.027009253727219372
2024,20,personal,0.026136205221661615
2025,1,property,0.04340393302102728
2025,2,digital_assets,0.04278003844663738
2025,3,law,0.040921645099502156
2025,4,legal,0.029209165149732787
2025,5,things,0.02718401674072167
2025,6,anderson,0.027073468940498703
2025,7,rights,0.026078597722373153
2025,8,law_commission,0.02581072551533762
2025,9,amendments,0.02560516694724535
2025,10,title,0.024385188012292263
2025,11,holmes,0.02151972597534355
2025,12,need,0.021216448324437136
2025,13,does,0.020954193406149686
2025,14,agree,0.020909639865851207
2025,15,leave,0.020502841131879668
2025,16,thing,0.02047899890931413
2025,17,evidence,0.019626756920694346
2025,18,digital,0.01915877291878705
2025,19,property rights,0.019084245121048424
2025,20,courts,0.01864909911390081
