term,mean_tfidf
financial,0.031380490406952725
cryptoassets,0.02756667621933701
crypto,0.025173237646572953
regulation,0.024378043060573746
law,0.022205130105312526
people,0.019820832313356827
digital_assets,0.01959843470278965
does,0.019353781189168986
need,0.019288480070019515
property,0.019075515074044917
services,0.017914125228480335
fca,0.017514367279820416
technology,0.017333798027723175
important,0.017310935710751013
digital,0.01679917150304834
cryptocurrency,0.016237389883715352
things,0.015858019286227168
regulatory,0.015577850100816299
financial services,0.015433220021565578
agree,0.015347208812059771
sector,0.015327175481794174
support,0.014498854823071014
risks,0.014317495267535988
fraud,0.01422356995746043
cryptoasset,0.01419471833476287
way,0.014168622514766846
treasury,0.013800805478171033
regulators,0.013070342977254382
legal,0.012908957520448903
cryptocurrencies,0.012595214210011986
regime,0.012373965374366672
work,0.012319301261448739
act,0.011860421724467106
ensure,0.011713472524809539
firms,0.011691661258097112
market,0.01165285126479819
use,0.011562233053918597
legislation,0.011406889580820558
law_commission,0.011397435227396117
money,0.011080002496402145
