topic,rank,term,term_probability
0,1,financial,0.021189380943512387
0,2,services,0.012606983036434885
0,3,regulators,0.01169425727190537
0,4,financial services,0.010271571277939892
0,5,sector,0.006392606968472696
0,6,regulatory,0.005923798089697773
0,7,support,0.005670996950150365
0,8,important,0.005349405670534253
0,9,treasury,0.0052409897818787845
0,10,fraud,0.005181010223887432
0,11,cash,0.005166819170236372
0,12,regulation,0.00436696212502082
0,13,legislation,0.0038488685549800403
0,14,access,0.0037439820408582667
0,15,growth,0.003707619646705412
0,16,economy,0.003696560667184362
0,17,markets,0.003668355674107007
0,18,need,0.0036390198181051286
0,19,welcome,0.0036087473848206344
0,20,parliament,0.003552359542811766
1,1,crypto,0.011376317970963138
1,2,cryptoassets,0.010718375007120745
1,3,regulation,0.009653972887824762
1,4,financial,0.009558320710909554
1,5,fca,0.008901426843186585
1,6,people,0.006448327009120785
1,7,cryptoasset,0.005704825853885213
1,8,firms,0.005222934853390077
1,9,sector,0.00522278462992848
1,10,regulatory,0.005198008019351464
1,11,cryptocurrency,0.005088932078494158
1,12,services,0.005032587128162314
1,13,risks,0.004707282378609414
1,14,financial services,0.004373002127691049
1,15,ensure,0.0041767080292943815
1,16,consumers,0.0040829285160238595
1,17,year,0.00395517168010733
1,18,regime,0.0036232600307948186
1,19,need,0.003363446600993567
1,20,clubs,0.003318400245133869
2,1,act,0.014993894351855205
2,2,crime,0.013248502675994658
2,3,cryptoassets,0.009146529200134318
2,4,powers,0.008584568892217745
2,5,economic,0.006158602217367561
2,6,regulations,0.006130057627448273
2,7,economic crime,0.0055871859945356055
2,8,criminals,0.005253637301104309
2,9,fraud,0.0050221719384534935
2,10,transparency,0.004813155178915442
2,11,enforcement,0.004691395485717731
2,12,nfts,0.0045272634795415125
2,13,corporate,0.00441793100986636
2,14,draft,0.0043945828005403816
2,15,home,0.004239927110208519
2,16,practice,0.004234405990515802
2,17,legislation,0.004210659234812165
2,18,money_laundering,0.004091216371323421
2,19,work,0.003981205342246744
2,20,information,0.00396403034091991
3,1,digital,0.009745908243262312
3,2,cbdc,0.007723190165497335
3,3,bank,0.007353086142659222
3,4,crypto,0.007026594448404408
3,5,people,0.006504412708832005
3,6,need,0.005922575919053947
3,7,technology,0.00564371579973214
3,8,way,0.005628765880129583
3,9,money,0.004837979208678119
3,10,central,0.00471017143472922
3,11,important,0.004453305691800962
3,12,data,0.004376200733372202
3,13,potential,0.004332146150407871
3,14,bitcoin,0.004141152438334126
3,15,work,0.004047792679360036
3,16,years,0.003937214267912434
3,17,certainly,0.0038950480142198396
3,18,going,0.003772656445163472
3,19,bank_of_england,0.003443107319939289
3,20,currency,0.0034251747698933197
4,1,law,0.02166672376129447
4,2,property,0.01782253881597733
4,3,digital_assets,0.016770646680970353
4,4,legal,0.012160131688838097
4,5,things,0.011078734256719265
4,6,rights,0.008452896423583272
4,7,law_commission,0.008377072278028195
4,8,common,0.007790159791642644
4,9,common law,0.007647015595129266
4,10,personal,0.006962520628337039
4,11,personal property,0.006510507784783614
4,12,courts,0.006334727434464284
4,13,action,0.00594087771355611
4,14,digital,0.005908932799633484
4,15,property rights,0.005861069020444011
4,16,category,0.0056987497017804934
4,17,does,0.005203897771861861
4,18,thing,0.004901506630008157
4,19,categories,0.004643419478114498
4,20,amendments,0.004221089883524468
